Omega,x_re,x_im,x0,v0,floquet,stable
0.716,2.559255855179107,0.02009269218635209,(0.11813335130974728-0.755940942950984j),(2.2045811931025208+0.0662496251707145j),[0.44614672+0.21575588j 1.23471026-0.597104j  ],False
0.715,2.5631888984238542,0.02012442367053517,(0.11812546666447046-0.7611159868187553j),(2.2079198725559515+0.06657171987498506j),[0.44376157+0.21645158j 1.23661977-0.60318044j],False
0.714,2.567095293674768,0.02015357447478341,(0.11811596152366571-0.7662089103570286j),(2.2112278104695404+0.06688573150142134j),[0.44138771+0.21713364j 1.23851151-0.60926598j],False
0.713,2.570975174250169,0.020180210024030407,(0.118104845238349-0.7712207368509618j),(2.214504927724483+0.06719179328505136j),[0.43902483+0.21780235j 1.24038573-0.61536139j],False
0.712,2.574828673336674,0.020204393092620676,(0.11809212685429517-0.7761524394444044j),(2.2177511447047085+0.0674900326377182j),[0.43667261+0.21845797j 1.24224263-0.62146743j],False
0.711,2.578655923967801,0.020226183939622236,(0.1180778151929315-0.7810049436585368j),(2.2209663812660945+0.06778057146818509j),[0.43433076+0.21910075j 1.24408242-0.62758482j],False
0.71,2.5824570590225524,0.020245640435547725,(0.11806191885584695-0.7857791298337862j),(2.224150556751541+0.06806352646260751j),[0.43199899+0.21973093j 1.24590528-0.63371427j],False
0.709,2.586232211224062,0.020262818178530262,(0.11804444622873432-0.7904758354051757j),(2.2273035900068057+0.06833900934646985j),[0.42967703+0.22034873j 1.24771139-0.63985645j],False
0.708,2.589981513131331,0.020277770588277594,(0.11802540548446336-0.7950958570215206j),(2.230425399395928+0.0686071271290974j),[0.42736463+0.22095437j 1.24950089-0.646012j  ],False
0.707,2.593705097139415,0.020290549027028797,(0.11800480458789073-0.799639952523336j),(2.2335159028170026+0.06886798233322848j),[0.42506155+0.22154806j 1.25127393-0.65218158j],False
0.706,2.597403095445161,0.020301202884470085,(0.11798265064818314-0.8041088425416703j),(2.2365750176730494+0.06912167294414252j),[0.42276756+0.22213j    1.25303063-0.65836578j],False
0.705,2.60107564012626,0.020309779683577465,(0.1179589514550726-0.8085032127783257j),(2.239602660981644+0.06936829323068978j),[0.42048244+0.22270037j 1.25477111-0.6645652j ],False
0.704,2.6047228630984804,0.02031632515937864,(0.11793371465013869-0.8128237153436157j),(2.2425987493509822+0.0696079336029979j),[0.41820597+0.22325936j 1.25649547-0.6707804j ],False
0.703,2.6083448960917983,0.020320883337201022,(0.11790694738422199-0.8170709701196318j),(2.2455631989655744+0.0698406806462162j),[0.41593797+0.22380712j 1.2582038 -0.67701195j],False
0.702,2.6119418706168487,0.020323496608429154,(0.11787865681527211-0.8212455659913185j),(2.2484959254921844+0.0700666174605414j),[0.41367823+0.22434384j 1.25989618-0.68326038j],False
0.701,2.6155139180671623,0.02032420581411106,(0.11784884966485976-0.8253480628013558j),(2.2513968443737307+0.07028582369688283j),[0.41142659+0.22486966j 1.26157268-0.6895262j ],False
0.7,2.619061169476859,0.020323050292605612,(0.11781753785353725-0.8293789915098698j),(2.254265869979903+0.07049837779498874j),[0.40918287+0.22538473j 1.26323335-0.69580994j],False
0.699,2.6225837560192673,0.02032006797861528,(0.11778472515958108-0.8333388574844878j),(2.257102917505946+0.0707043521535324j),[0.40694691+0.2258892j  1.26487826-0.70211207j],False
0.698,2.6260818086135607,0.02031529542833723,(0.11775041625655193-0.8372281398550278j),(2.2599079015990275+0.07090381658044267j),[0.40471856+0.22638321j 1.26650743-0.70843307j],False
0.697,2.6295554579301843,0.020308767887316524,(0.11771461733516661-0.8410472926012224j),(2.262680736346456+0.0710968386732021j),[0.40249767+0.22686688j 1.26812089-0.7147734j ],False
0.696,2.6330048344570316,0.020300519343810296,(0.117677334423241-0.8447967458170418j),(2.2654213355408763+0.07128348331154707j),[0.4002841 +0.22734034j 1.26971866-0.72113349j],False
0.695,2.636430068496925,0.020290582581611552,(0.11763857338865608-0.8484769066180268j),(2.2681296126959842+0.07146381276802384j),[0.39807773+0.22780372j 1.27130075-0.72751379j],False
0.694,2.6398312901654384,0.020278989230297605,(0.1175983399426369-0.8520881599946756j),(2.270805481062276+0.07163788681265217j),[0.39587842+0.22825712j 1.27286717-0.73391472j],False
0.693,2.643208629388842,0.020265769813089092,(0.11755663964268413-0.8556308696139243j),(2.27344885364231+0.07180576281172805j),[0.39368607+0.22870067j 1.27441791-0.74033666j],False
0.692,2.6465622159025495,0.020250953792455763,(0.11751347789532027-0.8591053785755278j),(2.2760596432068985+0.07196749582145719j),[0.39150055+0.22913446j 1.27595295-0.74678003j],False
0.691,2.6498921792493357,0.020234569613543155,(0.11746885995957396-0.8625120101209858j),(2.2786377623100407+0.07212313867670908j),[0.38932178+0.22955861j 1.27747228-0.75324519j],False
0.69,2.6531986487776815,0.020216644742616103,(0.11742279094900022-0.8658510683041013j),(2.281183123305324+0.0722727420747962j),[0.38714964+0.2299732j  1.27897587-0.75973252j],False
0.689,2.656481753634263,0.020197205688064178,(0.11737527583479498-0.8691228386194119j),(2.283695638361049+0.07241635465511764j),[0.38498405+0.23037834j 1.28046368-0.76624237j],False
0.688,2.6597416227646313,0.02017627805764568,(0.11732631944880594-0.8723275885949745j),(2.2861752194758593+0.0725540230747528j),[0.38282492+0.23077411j 1.28193566-0.77277508j],False
0.687,2.6629783849137807,0.020153886584369243,(0.11727592648538428-0.8754655683512051j),(2.288621778494796+0.07268579207979355j),[0.38067217+0.23116061j 1.28339177-0.77933098j],False
0.686,2.6661921686234535,0.020130055157780984,(0.11722410150459431-0.8785370111257557j),(2.291035227124741+0.07281170457348633j),[0.37852573+0.23153791j 1.28483195-0.7859104j ],False
0.685,2.6693831026432506,0.020104806842035767,(0.11717084730518178-0.8815421361188743j),(2.293415478066363+0.07293180117624616j),[0.37638552+0.23190611j 1.28625613-0.79251363j],False
0.684,2.672551314788988,0.020078163949555413,(0.11711616949959162-0.8844811424894653j),(2.295762441956837+0.07304612170760677j),[0.37425148+0.23226528j 1.28766424-0.79914099j],False
0.683,2.6756969329438345,0.020050148031497832,(0.11706007241971905-0.887354215475077j),(2.2980760300859826+0.0731547039672678j),[0.37212354+0.2326155j  1.28905621-0.80579274j],False
0.682,2.6788200848223305,0.020020779916343982,(0.11700256010338851-0.8901615254799896j),(2.30035615378263+0.07325758409862694j),[0.37000166+0.23295684j 1.29043195-0.81246917j],False
0.681,2.681920897926827,0.01999007973888615,(0.11694363646542055-0.8929032282234662j),(2.3026027243171634+0.07335479669368646j),[0.36788578+0.23328937j 1.29179139-0.81917054j],False
0.68,2.6849994995439723,0.019958066956278,(0.1168833053000034-0.8955794651030228j),(2.304815652917333+0.07344637484300452j),[0.36577585+0.23361316j 1.29313442-0.82589709j],False
0.679,2.688056016738824,0.019924760367152895,(0.11682157028265157-0.8981903635352061j),(2.306994850784078+0.07353235018301339j),[0.36367184+0.23392827j 1.29446095-0.83264907j],False
0.678,2.6910905763578667,0.01989017815049445,(0.1167584349721125-0.9007360372746858j),(2.309140229107206+0.07361275294095475j),[0.3615737 +0.23423479j 1.29577087-0.83942669j],False
0.677,2.694103305026792,0.019854337875740084,(0.11669390281290352-0.9032165867130464j),(2.3112516990810734+0.073687611977883j),[0.3594814 +0.23453275j 1.29706408-0.84623018j],False
0.676,2.6970943291483382,0.019817256524695365,(0.11662797713678832-0.9056320991588189j),(2.3133291719205884+0.07375695482915744j),[0.35739491+0.23482224j 1.29834045-0.85305974j],False
0.675,2.7000637749002463,0.019778950512777522,(0.11656066116484903-0.9079826490978227j),(2.3153725588767475+0.07382080774310669j),[0.35531421+0.2351033j  1.29959986-0.85991554j],False
0.674,2.703011768233398,0.01973943570941711,(0.11649195800934518-0.9102682984364359j),(2.3173817712524616+0.07387919571774162j),[0.35323928+0.23537599j 1.3008422 -0.86679779j],False
0.673,2.70593843487005,0.019698727457683182,(0.11642187067542539-0.9124890967272253j),(2.3193567204181798+0.07393214253555608j),[0.3511701 +0.23564038j 1.30206732-0.87370662j],False
0.672,2.708843900302325,0.019656840593087484,(0.11635040206357276-0.9146450813795609j),(2.3212973178280314+0.07397967079698158j),[0.34910665+0.23589651j 1.3032751 -0.88064221j],False
0.671,2.711728289760422,0.019613789456420536,(0.11627755462668017-0.9167362776459871j),(2.3232034749722827+0.07402180179065808j),[0.34704893+0.23614444j 1.30446539-0.88760467j],False
0.67,2.7145917282391485,0.019569587899378106,(0.11620333092439071-0.9187626990230106j),(2.325075103446824+0.07405855577247052j),[0.34499693+0.23638422j 1.30563806-0.89459415j],False
0.669,2.7174343404347376,0.019524249306799413,(0.11612773526585854-0.9207243470695368j),(2.3269121147008436+0.07408995266215847j),[0.34295065+0.2366159j  1.30679295-0.90161075j],False
